restaurant_id,komsco_name,komsco_address,naver_address,naver_road_address,detail_road_address,detail_jibun_address,old_address_result,best_pair_result,candidate_rank,candidate_name,place_id
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,,,서울 강남구 개포로25길 5 1층,,DIFFERENT,STRONG_MATCH,1,집밥식당 선02,1793398137
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,,,서울 서초구 논현로11길 17 101호 집밥식당 선01,,DIFFERENT,DIFFERENT,2,집밥식당 선01한식,1531090697
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,,,서울 강남구 선릉로 530 2층,,DIFFERENT,DIFFERENT,3,육전국밥 선정릉점,2063978135
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,,,서울 서초구 동산로 44 지하2층,,DIFFERENT,DIFFERENT,4,SCC 선 아트홀공연장,1052678554
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,,,서울 강남구 개포로 623,,DIFFERENT,DIFFERENT,5,썬패미리남성의류,1753888134
4298,빨간모자피자,서울특별시 강남구 학동로6길 30 1층 빨간모자피자,서울특별시 강남구 논현동 140-8,서울특별시 강남구 학동로6길 30,서울 강남구 학동로6길 30,,DIFFERENT,STRONG_MATCH,1,빨간모자피자 논현점피자,11580560
4279,카츠오우 도곡점,서울특별시 강남구 논현로30길 42 (도곡동) 1층 카츠오우,서울특별시 강남구 도곡동 420-2 1층,서울특별시 강남구 논현로30길 42 1층,서울 강남구 논현로30길 42 1층,,DIFFERENT,STRONG_MATCH,1,카츠오우 도곡점돈가스,1003690665
4289,수궁갈비집,서울특별시 강남구 봉은사로97길 4 (삼성동) 수궁갈비집,,,서울 강남구 봉은사로97길 4,,DIFFERENT,STRONG_MATCH,1,수궁갈비집한식,13150128
4419,파리바게뜨 수서역점,서울특별시 강남구 광평로 280(수서동) 로즈데일빌딩1층 파리바게뜨,,,서울 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,,DIFFERENT,STRONG_MATCH,1,파리바게뜨 수서역점,11684209
4280,소나무,서울특별시 강남구 압구정로28길 22-9 (신사동) 1층,,,서울 강남구 압구정로28길 22-9 1층,,DIFFERENT,STRONG_MATCH,1,소나무소고기구이,1618902912
4280,소나무,서울특별시 강남구 압구정로28길 22-9 (신사동) 1층,,,"서울 강남구 언주로150길 7 1층, 2층",,DIFFERENT,DIFFERENT,2,"소나무족발,보쌈",1275222532
4280,소나무,서울특별시 강남구 압구정로28길 22-9 (신사동) 1층,,,서울 강남구 압구정로 310 고려상가 203호,,DIFFERENT,DIFFERENT,3,압구정소나무부동산중개법인중개업,1231005858
4284,카페알케미,"서울특별시 강남구 양재대로53길 7 (일원동) 1,2층",서울특별시 강남구 일원동 646-4 1층,서울특별시 강남구 양재대로53길 7 1층,서울 강남구 양재대로53길 7 1층,,DIFFERENT,STRONG_MATCH,1,"카페알케미카페,디저트",136397665
4321,대포집,서울특별시 강남구 강남대로114길 15 (논현동) 1층,서울특별시 강남구 논현동 184-21 1층,서울특별시 강남구 강남대로114길 15 1층,서울 강남구 강남대로114길 15 1층,,DIFFERENT,STRONG_MATCH,1,대포집 논현본점,1609486868
4283,카발,서울특별시 강남구 선릉로82길 7 (대치동) 1층 레스토랑,서울특별시 강남구 대치동 897-10,서울특별시 강남구 선릉로82길 7,서울 강남구 선릉로82길 7,,DIFFERENT,STRONG_MATCH,1,카발,36665270
4283,카발,서울특별시 강남구 선릉로82길 7 (대치동) 1층 레스토랑,서울특별시 강남구 대치동 897-10,서울특별시 강남구 선릉로82길 7,서울 강남구 남부순환로 2645,,DIFFERENT,DIFFERENT,2,나르샤미천연화장품,64158581
4288,사리원,서울특별시 강남구 남부순환로 2712 (도곡동) 사리원,서울특별시 강남구 도곡동 411-5,서울특별시 강남구 남부순환로 2712,서울 강남구 남부순환로 2712,,DIFFERENT,STRONG_MATCH,1,"사리원 도곡점육류,고기요리",11710938
4294,야키니쿠규,서울특별시 강남구 테헤란로81길 60-5 (삼성동) 1층 야키니쿠 규,서울특별시 강남구 삼성동 152-11 1층,서울특별시 강남구 테헤란로81길 60-5 1층,서울 강남구 테헤란로81길 60-5 1층,,DIFFERENT,STRONG_MATCH,1,야키니쿠 규,1697940428
4616,미가,서울 강남구 세곡동 164-10 미가 부대찌개,서울특별시 강남구 세곡동 164-10 미가부대찌개,서울특별시 강남구 밤고개로36길 6 미가부대찌개,서울 강남구 밤고개로36길 6 미가부대찌개,,DIFFERENT,STRONG_MATCH,1,"미가 부대찌개찌개,전골",1134244869
4616,미가,서울 강남구 세곡동 164-10 미가 부대찌개,서울특별시 강남구 세곡동 164-10 미가부대찌개,서울특별시 강남구 밤고개로36길 6 미가부대찌개,,,UNKNOWN,UNKNOWN,2,국수미가국수,159945533
